123.76519129782446,39.82650631340924,1550177669.2386246,
119.37246811702926,60.337582294439,1550177669.2386246,
120.9861215303826,80.34838812958998,1550177669.2386246,
107.35971492873219,106.86270586116503,1550177669.2386246,
119.82070517629407,121.12040501871009,1550177669.2386246,
135.15041260315078,131.37594300922495,1550177669.2386246,
116.5933983495874,163.39323234546652,1550177669.2386246,
119.91035258814705,180.65255237828427,1550177669.2386246,
124.57201800450113,196.66119704640505,1550177669.2386246,
119.91035258814705,221.174434194465,1550177669.2386246,
138.37771942985748,221.42456926740437,1550177669.2386246,
